FederatedEngine,Query,Runtime
presto,q01.sql,1643
presto,q12.sql,2130
presto,q06.sql,1718
presto,q07.sql,2864
presto,q03.sql,2047
presto,q10.sql,2299
presto,q09.sql,3538
presto,q08.sql,4174
presto,q11.sql,3387
presto,q04.sql,2233
presto,q05.sql,2871
presto,q02.sql,4055
spark,q01.sql,57942
spark,q12.sql,6282
spark,q06.sql,1426
spark,q07.sql,20653
spark,q03.sql,14359
spark,q10.sql,8674
spark,q04.sql,31674
spark,q09.sql,50079
spark,q08.sql,37945
spark,q05.sql,31855
spark,q11.sql,17399
spark,q02.sql,9108
trino,q01.sql,1301
trino,q12.sql,1452
trino,q06.sql,1392
trino,q07.sql,2106
trino,q03.sql,1649
trino,q10.sql,1796
trino,q09.sql,2642
trino,q08.sql,3587
trino,q11.sql,1731
trino,q04.sql,1509
trino,q05.sql,2051
trino,q02.sql,2667
